post_id,vader_label,post_vader_score,avg_comment_vader_score
1d96r1b,positive,1,0.24586776859504134
1ey9itp,positive,1,0.8021978021978021
1jp1zqs,negative,-1,0.07246376811594202
1j9fkll,negative,-1,0.08991825613079019
1mibjwm,neutral,0,0.31404958677685946
1g9yl5q,neutral,0,-0.06439393939393939
1p0v8bw,positive,1,0.3544973544973545
1onv167,positive,1,0.2482758620689655
1irpqgd,positive,1,0.16265060240963858
1o3oefh,neutral,0,0.3219512195121951
1odmgfu,positive,1,0.6222222222222222
1kbtspd,neutral,0,0.0958904109589041
1hht1s0,positive,1,0.6545454545454545
1kc1s9f,negative,-1,0.32679738562091504
1iq3y49,positive,1,0.2867830423940149
1izml1n,positive,1,0.15019762845849804
1kpvz1j,positive,1,0.3790849673202614
1owkewa,positive,1,0.1686746987951807
1o5hdwb,positive,1,0.08808290155440418
1ms8r2i,negative,-1,0.08059701492537313
1j6qviz,positive,1,0.40875912408759124
1mio0tx,negative,-1,0.21951219512195125
1gia08y,positive,1,-0.10429447852760737
1oly3xf,positive,1,0.09777777777777774
1dlf5b4,negative,-1,-0.0038167938931297773
1o7vf5d,positive,1,0.13513513513513511
1how4pv,negative,-1,0.28666666666666674
1ih3t5s,negative,-1,0.0
1c1kvy8,neutral,0,0.13295880149812733
1g1k4qt,negative,-1,0.2524752475247525
1n8n3e5,negative,-1,0.19266055045871555
1ojdj13,positive,1,0.2392638036809816
1jwwj77,positive,1,0.07602339181286549
1jo6tpn,positive,1,0.37419354838709684
1grvz2k,negative,-1,0.11462450592885376
1jdrulk,negative,-1,0.2587859424920128
19660ow,neutral,0,0.43063583815028894
1nmqoph,neutral,0,-0.010676156583629914
1e8yepx,positive,1,-0.09652509652509655
1iv8a44,neutral,0,0.6837606837606838
1k22xu9,negative,-1,0.3160919540229885
1kxlb0u,positive,1,0.3712121212121212
1lzt2h6,positive,1,0.725
1nn3a4q,neutral,0,0.24404761904761907
1oq28kp,negative,-1,0.3175675675675676
1ixj4wv,negative,-1,-0.021428571428571408
1oxf3wv,negative,-1,0.39597315436241615
1m4bz1r,positive,1,0.4183673469387755
1nqj2kf,positive,1,0.4767441860465116
1nbnk26,neutral,0,0.35555555555555557
1n37nio,positive,1,0.12631578947368421
1ob3c4e,neutral,0,0.20105820105820105
1m6rtbq,positive,1,0.1782178217821782
1kzecwu,positive,1,0.06369426751592361
1ope5g2,negative,-1,0.10344827586206895
1kbgili,positive,1,0.26246719160104987
